"","Year","ENGINE.SIZE","CYLINDERS","TRANSMISSION","FUEL","FUEL.CONSUMPTION","COEMISSIONS","INFO"
"30",2000,1.8,4,"M5","Z",12.3,246,"AUDI TT ROADSTER TWO-SEATER"
"31",2000,1.8,4,"M6","Z",13.1,260,"AUDI TT ROADSTER QUATTRO (SUPERCHARGED) TWO-SEATER"
"32",2000,2.5,6,"A5","Z",14.6,292,"BMW 323 CONVERTIBLE COMPACT"
"33",2000,2.5,6,"M5","Z",13.9,281,"BMW 323 CONVERTIBLE COMPACT"
"34",2000,2.5,6,"A5","Z",13.8,271,"BMW 323Ci COMPACT"
"35",2000,2.5,6,"M5","Z",13,258,"BMW 323Ci COMPACT"
"36",2000,2.5,6,"A5","Z",13.8,271,"BMW 323i COMPACT"
"37",2000,2.5,6,"M5","Z",13,258,"BMW 323i COMPACT"
"38",2000,2.8,6,"A5","Z",13.9,274,"BMW 328Ci COMPACT"
"39",2000,2.8,6,"M5","Z",13,258,"BMW 328Ci COMPACT"
"40",2000,2.8,6,"A5","Z",13.9,274,"BMW 328i COMPACT"
"41",2000,2.8,6,"M5","Z",13,258,"BMW 328i COMPACT"
"42",2000,2.8,6,"A4","Z",14.6,288,"BMW 528i COMPACT"
"43",2000,2.8,6,"M5","Z",13,258,"BMW 528i COMPACT"
"44",2000,2.8,6,"A4","Z",14.6,288,"BMW 528i TOURING STATION WAGON - SMALL"
"45",2000,2.8,6,"M5","Z",14.5,285,"BMW 528i TOURING STATION WAGON - SMALL"
"46",2000,4.4,8,"A5","Z",14.7,294,"BMW 540i COMPACT"
"47",2000,4.4,8,"M6","Z",16.4,317,"BMW 540i COMPACT"
"48",2000,4.4,8,"A5","Z",15.5,320,"BMW 540i TOURING STATION WAGON - SMALL"
"49",2000,4.4,8,"A5","Z",15.4,308,"BMW 740i MID-SIZE"
"50",2000,4.4,8,"A5","Z",15.4,308,"BMW 740iL FULL-SIZE"
"51",2000,5.4,12,"A5","Z",19.1,373,"BMW 750iL FULL-SIZE"
"52",2000,3.2,6,"M5","Z",13.9,281,"BMW M COUPE TWO-SEATER"
"53",2000,3.2,6,"M5","Z",13.9,281,"BMW M ROADSTER MINICOMPACT"
"54",2000,4.9,8,"M6","Z",19.6,375,"BMW M5 COMPACT"
"55",2000,4.4,8,"A5","Z",14.9,294,"BMW X5 SUV"
"56",2000,2.5,6,"A4","Z",14,278,"BMW Z3 SUBCOMPACT"
"57",2000,2.5,6,"M5","Z",13.4,267,"BMW Z3 SUBCOMPACT"
"58",2000,2.8,6,"A4","Z",13.9,278,"BMW Z3 SUBCOMPACT"
"59",2000,2.8,6,"M5","Z",13.9,278,"BMW Z3 SUBCOMPACT"
"60",2000,4.9,8,"M6","Z",19.3,380,"BMW Z8 TWO-SEATER"
"61",2000,3.1,6,"A4","X",13.1,255,"BUICK CENTURY MID-SIZE"
"62",2000,3.8,6,"A4","X",13.8,265,"BUICK LESABRE FULL-SIZE"
"63",2000,3.8,6,"A4","X",14.4,276,"BUICK PARK AVENUE FULL-SIZE"
